Juros;SELIC
1,261765799;1,267551
1,416032185;1,084394
1,206295041;1,379123
1,291157346;1,18185
1,005525007;1,227805
0,039233287;1,229889
1,213657017;1,286889
1,849614699;1,293586
0,480282085;1,251327
1,911263987;1,213224
0,210860593;1,250986
0,344847345;1,482823
2,047930485;1,383882
1,297797523;1,218186
1,375689564;1,528178
0,686792974;1,411529
1,959782862;1,503065
1,640349144;1,585603
2,563543536;1,511345
2,074355833;1,658483
1,507029149;1,503136
0,973652416;1,407164
1,30094409;1,381041
0,9945237;1,473572
1,330882999;1,429317
1,097537688;1,145063
1,011591264;1,422302
1,040385395;1,077878
0,910893891;1,281366
0,918820388;1,184394
1,092982721;1,169966
1,294504536;1,256265
0,948516145;1,05731
1,480111764;1,094244
1,230690603;1,020605
1,142170273;0,987886
1,616440272;1,082798308
1,371580871;0,872481617
1,643253118;1,052221912
1,44585557;0,94482335
1,859290727;1,028079602
2,30647825;0,905623126
1,812239506;0,972629359
1,982361695;0,99263937
2,409907503;0,804954378
1,729197918;0,929482459
1,519189454;0,844660979
1,129382649;0,844660979
2,448589066;0,929374383
1,481073838;0,802223003
1,61423947;0,844588988
1,865059723;0,901419915
0,640997065;0,87677982
2,138315954;0,955589697
1,362305136;1,069668756
1,914456702;1,017651399
1,088939578;1,103089295
1,482871915;1,175875084
1,114629252;1,01997112
1,07259678;1,124092272
1,524982831;1,047809854
1,047631746;0,855094132
1,596708405;0,97088913
1,397708291;0,839568929
2,014277457;0,77088574
1,06785348;0,762174476
1,517116534;0,790136713
0,96261543;0,693741319
1,234508098;0,693741319
1,364513812;0,693741319
0,894885678;0,66
0,893588441;0,73
0,792128964;0,66
1,297384577;0,59
0,954720412;0,76
1,305119104;0,67
1,282195146;0,75
0,993278341;0,79
1,185993925;0,86
0,681574644;0,89
0,502185;0,85
0,444734298;0,81
0,657789814;0,81
2,030183594;0,90733831
1,968853163;0,862325191
1,049207052;0,843905078
1,755567074;0,920464822
1,830310183;0,840161068
1,415956258;0,987988047
1,28594129;0,956275812
1,75149664;0,967883023
1,513633955;1,074061861
1,632486641;0,941758883
1,254263966;0,881958967
1,409221565;0,86048377
1,282621519;0,90733831
1,260814486;0,891018664
0,901716108;0,748765128
1,154338719;0,821128974
0,999259209;0,711870335
1,142945889;0,744718352
0,754738235;0,641495337
1,38143362;0,679965319
1,289324817;0,69181693
0,952912451;0,539003279
0,917487213;0,611346026
1,187620402;0,548851531
1,069077327;0,550153792
1,481438321;0,601442506
1,239166112;0,493272198
1,344740996;0,549410049
1,401073416;0,613654293
1,677293365;0,598543923
1,556635137;0,605274318
1,579383865;0,724095507
1,807356083;0,710319516
1,072052583;0,71302873
1,463796066;0,810517117
1,298812447;0,719214498
1,573248507;0,789738297
1,788433413;0,84933502
1,36566675;0,790138111
1,659230933;0,765948544
1,124749865;0,822675254
1,091028583;0,865883171
0,932954673;0,824481139
1,147725019;0,948738246
0,942572881;0,865991442
0,481460288;0,907302204
0,979858858;0,950542317
1,462156832;0,842501092
1,512898283;0,961300786
1,659127641;0,935079974
1,557113192;0,822413931
1,474333923;1,039971839
1,309350349;0,951795536
1,637891931;0,985332157
1,25164727;1,066677888
1,625174623;1,178199036
1,797184579;1,10896381
0,891969585;1,10896381
0,742619294;1,10896381
2,185559583;1,055878217
1,903276015;1,162077289
2,304777959;1,055878217
0,665680866;1,002820496
0,88493691;1,162077289
0,993995581;1,055878217
1,467014871;1,10896381
1,615102898;1,162077289
2,457261435;1,10896381
1,442708587;1,21521867
3,363620229;1,10896381
1,523022786;1,048844644
2,243596416;1,038295202
3,157242584;1,123315516
1,00812962;1,533959
4,043513868;1,248215
5,233411405;1,371333
0,656622781;1,483567
3,681318244;1,414989
1,785863575;1,329033
4,414375259;1,535435
3,466621266;1,443404
5,402235117;1,381266
0,557582651;1,645925
0,824109298;1,540931
3,354254004;1,742449
3,722709043;1,971266
1,339702189;1,83038
0,582168972;1,777019
1,083977405;1,871595
2,252528279;1,965352
0,928118585;1,856679
1,620295431;2,084247
1,973649708;1,774261
1,809991229;1,679509
1,63407924;1,64206
1,856642084;1,343531
1,522697568;1,37325
1,388380196;1,086125385
1,109813313;0,865089791
1,683835548;1,052060215
1,045485421;0,78658585
1,442057706;0,927140613
1,236240447;0,808861142
1,105561526;0,797916786
1,401714627;0,802295178
1,093133648;0,638456105
1,188461609;0,643926418
0,996331343;0,568195412
1,092383736;0,538403774
