PIBR01L;IPCA;SELIC;DGCL;RLGCL;TCR
12,6617068;0,4300;0,7447;10,8726;10,8614;2,8484
12,67751469;0,0000;0,6415;10,8225;10,8346;-0,4616
12,7125034;0,0100;0,6800;10,9878;11,0000;-2,0322
12,71781751;0,0400;0,6918;10,9004;10,9692;-0,4733
12,70889249;0,4500;0,5390;11,5537;11,7761;-2,6997
12,74944078;0,7500;0,6113;10,9319;11,0612;-2,6596
12,78291742;0,8300;0,5489;10,9649;10,9801;0,9747
12,78036277;0,6300;0,5502;11,1188;11,3097;-1,6089
12,71583383;0,8300;0,6014;11,0504;11,2521;-1,4420
12,72100086;0,8000;0,4933;10,7847;10,8357;-0,7089
12,75878051;0,7900;0,5494;10,9017;11,0533;-0,3494
12,76213724;0,7700;0,6137;11,0130;11,2405;-4,4970
12,81025715;0,4700;0,5985;10,9217;10,9922;1,7079
12,82299458;0,1500;0,6053;11,0010;11,1611;-1,8989
12,82888659;0,1600;0,7241;11,1122;11,2656;-1,5198
12,83855713;0,3700;0,7103;10,9773;11,0198;2,0143
12,79780721;0,5300;0,7130;11,0546;11,1351;8,8854
12,84311636;0,4300;0,8105;11,0326;11,2018;0,8921
12,87194401;0,5200;0,7192;11,0058;11,0799;0,2464
12,87715246;0,5000;0,7897;11,3028;11,3209;2,0098
12,81638695;0,5600;0,8493;11,1212;11,3875;-2,6931
12,81628319;0,4500;0,7901;10,8939;10,9890;-4,0787
12,88423906;0,2100;0,7659;11,0627;11,1726;5,1481
12,85532296;0,6400;0,8227;11,1764;11,3177;2,7874
12,9026059;0,3600;0,8659;11,0402;11,0636;6,4774
12,89868398;0,0800;0,8245;11,0884;11,0990;3,1407
12,93779452;0,4300;0,9487;11,2035;11,2536;-1,5225
12,95046995;0,4100;0,8660;11,1047;11,1254;0,1819
12,88558219;0,5700;0,9073;11,1536;11,1687;-0,1556
12,95703506;0,5900;0,9505;11,1534;11,2800;-0,5585
12,9597387;0,6000;0,8425;11,1817;11,1125;0,6792
12,95827355;0,7900;0,9613;11,2932;11,4680;-0,4800
12,9407073;0,8600;0,9351;11,2428;11,5372;-2,7767
12,90259532;0,6000;0,8224;11,0208;10,9050;-2,7085
12,9722663;0,4700;1,0400;11,1313;11,1252;0,3997
12,99869619;0,5500;0,9518;11,3514;11,4271;0,2471
12,99914589;0,3700;0,9853;11,1266;11,2052;1,4925
13,00776994;0,2600;1,0667;11,2228;11,2336;6,7053
13,04239367;0,0300;1,1782;11,3225;11,3630;3,6667
13,03011091;0,2400;1,1090;11,2079;11,2033;3,8663
12,99849086;0,3500;1,1090;11,3550;11,2214;-3,2879
13,05906482;0,5700;1,1090;11,3243;11,3821;-4,3953
13,05805136;0,5400;1,0559;11,2913;11,5942;4,1656
13,07478581;0,9200;1,1621;11,3696;11,5233;1,1948
13,03362275;0,5500;1,0559;11,4398;11,5635;1,3012
13,0213171;0,6900;1,0028;11,1544;11,1058;-0,1903
13,04718322;0,9200;1,1621;11,2552;11,2923;-2,6573
13,06137941;0,6700;1,0559;11,3075;11,4885;-4,2967
13,07110144;0,4600;1,1090;11,3135;11,1625;-0,6779
13,03926878;0,4000;1,1621;11,3044;11,2708;0,4507
13,08920416;0,0100;1,1090;11,4196;11,3903;-0,5769
13,07889988;0,2500;1,2152;11,4455;11,3245;1,5345
13,07778345;0,5700;1,1090;11,5012;11,2645;2,3495
13,11239953;0,4200;1,0488;11,3940;11,4275;4,2437
13,10462509;0,5100;1,0383;11,4215;11,3394;2,9996
13,12561596;0,7800;1,1233;11,4969;11,5065;2,2651
13,07278542;1,2400;1,5340;11,4658;11,5654;-1,9211
13,04543916;1,2200;1,2482;11,2593;11,1587;6,1413
13,13197845;1,3200;1,3713;11,3105;11,3241;10,5840
13,10134451;0,7100;1,4836;11,4286;11,5309;-3,3965
13,09438488;0,7400;1,4150;11,3619;11,2571;0,1016
13,10141211;0,7900;1,3290;11,4097;11,3053;1,3095
13,13302025;0,6200;1,5354;11,5022;11,4205;2,9359
13,11337811;0,2200;1,4434;11,3493;11,2797;8,6440
13,12045748;0,5400;1,3813;11,4062;11,3229;10,2500
13,16544623;0,8200;1,6459;11,5234;11,3836;-1,5685
13,15574469;1,0100;1,5409;11,4754;11,2258;-3,5832
13,1713839;0,9600;1,7424;12,0472;11,5927;1,1731
13,103572;1,2700;1,9713;11,6022;11,7283;3,2586
13,10505514;0,9000;1,8304;11,4390;11,1193;-2,7377
13,15660279;0,4300;1,7770;11,4366;11,3483;-6,6324
13,13918418;0,6100;1,8716;11,4602;11,5491;-3,8632
13,14938434;0,7800;1,9654;11,4433;11,2423;-1,0422
13,19357788;0,3500;1,8567;11,4457;11,3356;-3,3207
13,18701067;0,5200;2,0842;11,6177;11,4275;-4,9951
13,1904086;0,4400;1,7743;11,4651;11,2256;-2,3551
13,14294889;0,0800;1,6795;11,5712;11,2993;1,6080
13,17229531;0,2600;1,6421;11,4203;11,7907;-2,2488
13,20298695;0,1800;1,3435;11,6352;11,2191;4,4627
13,24679338;0,3000;1,3733;11,9599;11,4502;0,0918
13,21611481;0,3800;1,0861;11,5208;11,6851;-4,4515
13,19222414;0,3300;0,8651;11,4652;11,1419;-2,9211
13,24931593;0,2500;1,0521;11,5002;11,3794;0,6040
13,21352926;0,1400;0,7866;11,4691;11,5901;0,4257
13,25766999;0,3100;0,9271;11,5816;11,2609;2,0870
13,27199681;-0,2300;0,8089;11,5757;11,3695;3,0132
13,27257959;0,2400;0,7979;11,6016;11,3977;-2,9974
13,26993679;0,1900;0,8023;11,5295;11,4248;-1,6090
13,21984622;0,1600;0,6385;11,6311;11,4044;-0,1841
13,25712494;0,4200;0,6439;11,4943;11,5447;1,3019
13,28814084;0,2800;0,5682;11,5651;11,5770;1,9492
13,32662876;0,4400;0,5384;11,9039;11,7505;0,4832
