PIBR01L;DGCL;RLGCL;IPCA;Juros;TCR;DPJx13
11.6693038081247;9.82454064914443;9.97982658184766;0.245938152681429;1.261765799;0.3523;32.232577443426
11.6625319647943;9.81635231425092;9.95419117527993;0.199773660765123;1.416032185;1.7852;32.8221733481836
11.6685335319948;9.857184702743;9.94408957271971;0.533107305744756;1.206295041;-3.0454;32.829408261671
11.6903614883041;9.85708455922259;9.95241207491656;0.742017277815871;1.291157346;-1.3548;32.2796695547623
11.7065396656787;9.86769261410181;9.98620660755335;0.263801820300887;1.005525007;6.6677;31.9766027489988
11.7084661246824;9.83767252112219;9.96102419552511;0.689408900840033;0.039233287;9.0203;31.6887596075636
11.7205963915533;9.89726715629444;10.0261636271469;1.34383032003072;1.213657017;6.9807;31.2442597554801
11.7324018660629;9.89014432496689;10.002692151414;0.854741100321401;1.849614699;5.6433;31.1632879504203
11.7340993689126;9.88008360803409;10.1205040964875;0.839733872724092;0.480282085;6.8655;30.9569740269285
11.7547813082757;9.92746918404019;10.0744087516495;1.2990047844343;1.911263987;12.5977;30.4811163526639
11.7592123661147;9.9382011347266;10.0725963719068;2.96408927740411;0.210860593;-8.7866;29.5116162646936
11.7430386117473;9.91416945544673;10.0683439666223;1.9246032770797;0.344847345;-0.9202;29.501174083918
11.7546794735413;9.92010816859673;10.0951162643548;1.97590316204957;2.047930485;-6.8503;29.1498020268568
11.7892163322679;9.92031381524027;10.107236677925;1.40972880817445;1.297797523;3.6079;28.0974514363401
11.7881324999779;9.88032076418187;10.0458480538358;1.16309063524918;1.375689564;-4.6003;28.1603178902047
11.8114570776214;9.92360686292554;10.1437736090543;0.912013534932498;0.686792974;-10.5889;27.4124038976817
11.7918927596739;9.94506588797054;10.1354263887025;0.663756892700893;1.959782862;-5.9476;28.2808164162671
11.7824889378849;9.98062133272277;10.0468557681463;0.119388813725407;1.640349144;-2.205;28.9704067489603
11.8210923486884;9.97934808399583;10.13447300081;0.353867244364887;2.563543536;-0.2056;28.4604968239355
11.8190182935224;9.99001584915425;10.1399424269565;0.544735670666128;2.074355833;4.2984;28.9274919612984
11.8671718359486;9.98400557931681;10.1060074070073;0.899731294789895;1.507029149;-3.0926;27.7137241241694
11.8678788073837;10.0320892110741;10.1803703193816;0.27902838123025;0.973652416;-2.4884;27.8604807951821
11.8450079860807;10.016707377012;10.1969159557496;0.284140092768838;1.30094409;1.2111;28.7623039322366
11.8689970788521;10.060533716888;10.1551099220882;0.344686587703247;0.9945237;-0.235;28.246125197965
11.9370434820776;10.0353769414028;10.1888255805256;0.485938910855746;1.330882999;-2.77;26.5851351829523
11.9318808556261;10.0635118667001;10.2568358166173;0.449713070130282;1.097537688;2.6801;26.8621561404423
11.9757706090457;10.1131941051751;10.2896167658244;0.403086408613474;1.011591264;-0.6793;25.834532756377
11.9750310941025;10.1446742957891;10.2122779841405;0.312006811680546;1.040385395;-0.0288;26.0301560232444
11.9829016264986;10.1069878375727;10.2781583209756;0.563681414816391;0.910893891;6.7699;25.886653568438
12.0182677092982;10.129553242473;10.349396302326;0.979316571827423;0.918820388;0.5329;24.934980689945
12.0349073888535;10.1459305245173;10.3013828761353;1.06388100621229;1.092982721;-3.9788;24.5051309386655
12.0309885699245;10.1454729350585;10.3053926791151;0.894719631674155;1.294504536;-1.7399;24.6725147097719
12.0294607528901;10.1645396000736;10.3306989521575;0.449736953378883;0.948516145;-3.833;24.804934880466
12.0214249248157;10.161029755317;10.293925108699;0.429031187084627;1.480111764;-1.2423;25.2446496387894
12.0444719655018;10.1716126529031;10.3199887720002;0.634171091845721;1.230690603;-2.9577;24.7911379157957
12.0717829137121;10.2119943264324;10.3985657777229;0.684763974413056;1.142170273;-3.6265;24.2008843994885
12.0593537871026;10.1890380765829;10.3523203893395;0.305975208933878;1.616440272;-1.289;24.7963602408385
12.0532463122148;10.2898196508795;10.3965984293913;0.429692098958088;1.371580871;-35.445;25.1629252466669
12.0911202140894;10.2492140776771;10.4187163442111;0.543072039475842;1.643253118;4.2886;24.4635576959271
12.1017341186993;10.2223279947534;10.4119266830994;0.811988103575599;1.44585557;-4.8299;24.3255962113609
12.0929965204213;10.2602591823617;10.3885609533181;0.543609461673694;1.859290727;-5.4562;24.8382852573661
12.110695066204;10.3000849843722;10.480695419333;0.249266555516765;2.30647825;-1.5324;24.8709396118523
12.108391435354;10.2547209403876;10.421116253281;0.403934045572236;1.812239506;-1.447;25.2495914372853
12.1354079716575;10.3189116219172;10.4604436741121;0.374725617523268;1.982361695;-0.2032;24.9454735632639
12.1314013661574;10.2764003023971;10.4053479360772;0.469739907220828;2.409907503;-1.9617;25.5077431409467
12.1278436228456;10.3133560001554;10.4428606579711;0.739021402167176;1.729197918;-2.1897;25.8277409392974
12.144988270056;10.3366539484449;10.4684305752202;0.494204009680004;1.519189454;-3.3388;25.6245688563305
12.1781902673969;10.3704683519592;10.5285067518612;0.184841796500599;1.129382649;2.5856;24.9933660175349
12.1873344397367;10.4198725143986;10.4354658113817;0.315994199680057;2.448589066;-0.3406;25.2896723058444
12.1640169915596;10.3514187634494;10.5005311353425;0.249657683990261;1.481073838;-5.1167;26.1780179907821
12.1817312672544;10.3187198343107;10.4932815174595;0.363060543141937;1.61423947;-0.3396;26.0093940974387
12.155948966508;10.3501287463774;10.5346509548823;0.151984892416688;1.865059723;-0.4234;27.1118965896104
12.2077488653177;10.4070843077229;10.5248036161184;0.153539854982063;0.640997065;2.6963;25.8479150003128
12.2110082201406;10.399195285863;10.5654129303499;0.059201228075413;2.138315954;3.6454;26.2696067606768
