PIBR01L;DGCL;RLGCL;IPCA;SELIC;TCR;DP
12,49827321;10,60091709;10,74589997;0,2800;0,8900;0,6317;0,284452994
12,48343908;10,7050347;10,83395311;0,2600;0,8500;11,1731;0,277992942
12,53934031;10,63540717;10,94108676;0,4500;0,8100;18,9837;0,151529378
12,50369314;10,75500721;10,65596577;0,3600;0,8100;1,9403;0,530800115
12,48016764;11,03106121;10,9333327;0,2800;0,9073;4,2619;0,550741109
12,43749051;10,7830061;10,8623133;0,4800;0,8623;-3,6710;0,384431805
12,41356066;10,56079515;10,5315755;0,5500;0,8439;0,1751;0,459675974
12,4853298;10,62870747;10,7775014;0,2000;0,9205;0,0925;0,299232743
12,4752934;10,68340587;10,89037249;0,4800;0,8402;-4,8896;0,237766315
12,50848723;10,71543613;10,70725753;0,4700;0,9880;-6,7394;0,423698154
12,5356097;10,73993131;10,7264502;0,3600;0,9563;-4,5397;0,41726102
12,57033859;10,83963282;10,86880247;0,2400;0,9679;-1,6620;0,379593747
12,56611239;10,77325492;10,84173206;0,1500;1,0741;-4,4535;0,347500029
12,56229672;10,88450156;10,72611571;0,2400;0,9418;-1,5494;0,562343261
12,62637429;10,79094751;10,99899348;0,2800;0,8820;-4,6557;0,201177554
12,63676379;10,84781055;11,03624759;0,4100;0,8605;-1,0316;0,208444346
12,66416411;11,06681202;11,09637658;0,3700;0,9073;0,8478;0,389857401
12,57233386;10,82553805;11,06816337;0,7500;0,8910;1,2679;0,208913012
12,56102481;10,72695748;10,70069445;0,7800;0,7488;2,6946;0,415533622
12,64788719;10,97484852;10,89342553;0,5200;0,8211;-3,1275;0,480720307
12,633121;10,84948059;11,12708582;0,5700;0,7119;-2,0246;0,142872561
12,6617068;10,87255663;10,8614443;0,4300;0,7447;2,8484;0,391596913
12,67751469;10,82245995;10,83463967;0,0000;0,6415;-0,4616;0,357592911
12,7125034;10,98783487;11,00003379;0,0100;0,6800;-2,0322;0,358078017
12,71781751;10,90036718;10,96922203;0,0400;0,6918;-0,4733;0,309417561
12,70889249;11,55367684;11,77609989;0,4500;0,5390;-2,6997;0,161912463
12,74944078;10,93189716;11,06115431;0,7500;0,6113;-2,6596;0,227706838
12,78291742;10,96485977;10,98005204;0,8300;0,5489;0,9747;0,333798523
12,78036277;11,11884638;11,30969454;0,6300;0,5502;-1,6089;0,198093568
12,71583383;11,05041209;11,25212736;0,8300;0,6014;-1,4420;0,186408302
12,72100086;10,78470054;10,83573068;0,8000;0,4933;-0,7089;0,304565631
12,75878051;10,90167036;11,05334614;0,7900;0,5494;-0,3494;0,211552158
12,76213724;11,01303336;11,24047348;0,7700;0,6137;-4,4970;0,131784004
12,81025715;10,92167776;10,99215282;0,4700;0,5985;1,7079;0,263345635
12,82299458;11,00101046;11,16112853;0,1500;0,6053;-1,8989;0,182988638
12,82888659;11,11218577;11,26556059;0,1600;0,7241;-1,5198;0,187414525
12,83855713;10,97733249;11,0197687;0,3700;0,7103;2,0143;0,302930915
12,79780721;11,0545916;11,13508929;0,5300;0,7130;8,8854;0,25247598
12,84311636;11,03255216;11,20178822;0,4300;0,8105;0,8921;0,165970479
12,87194401;11,00581235;11,07987618;0,5200;0,7192;0,2464;0,2492365
12,87715246;11,30276533;11,32090262;0,5000;0,7897;2,0098;0,323719546
12,81638695;11,12119037;11,38747794;0,5600;0,8493;-2,6931;0,108930789
12,81628319;10,89390983;10,98902153;0,4500;0,7901;-4,0787;0,230552035
12,88423906;11,06268828;11,17262196;0,2100;0,7659;5,1481;0,228434726
12,85532296;11,17640868;11,31771345;0,6400;0,8227;2,7874;0,185983992
12,9026059;11,0401588;11,06355819;0,3600;0,8659;6,4774;0,297488277
12,89868398;11,08843649;11,09901217;0,0800;0,8245;3,1407;0,300092186
12,93779452;11,20346846;11,25356335;0,4300;0,9487;-1,5225;0,25942317
12,95046995;11,10473013;11,12535226;0,4100;0,8660;0,1819;0,310034048
12,88558219;11,15355412;11,16873506;0,5700;0,9073;-0,1556;0,293623127
12,95703506;11,15339244;11,2799949;0,5900;0,9505;-0,5585;0,190043268
12,9597387;11,18168032;11,11245114;0,6000;0,8425;0,6792;0,381840043
12,95827355;11,29322822;11,46802107;0,7900;0,9613;-0,4800;0,155822117
